APP_ID,APP_NAME,CATEGORY,PRICE,CONTENT_RATING,DOWNLOADS,SIZE(M),CURRENT_VERSION,MIN_REQUIRED_ANDROID,LASTUPDATED,TOTAL_REVIEWS,AVERAGE_RATING,5RATING,4RATING,3RATING,2RATING,1RATING,DEVELOPER_SITE,DEVELOPER_CONTACT,DEVELOPER_NAME,Column1
air.com.freshplanet.games.MoviePop,MoviePop,Casual,0,Medium Maturity,"500,000 - 1,000,000",22,1.0.14,2.3,12/20/2013,22107,4.43,14769,4597,1188,564,989,http://freshplanet.com,048ed108a032eef4a57de52b47b6855760608f83,616d45f74df5a2c7333da2de039a2c69a67efdfe,http://www.moviepop.net/privacy-policy
air.com.freshplanet.games.MoviePopPlus,MoviePop Plus,Casual,2.18,Medium Maturity,"1,000 - 5,000",22,1.0.14,2.3,12/20/2013,512,4.6,385,89,14,7,17,http://freshplanet.com,048ed108a032eef4a57de52b47b6855760608f83,616d45f74df5a2c7333da2de039a2c69a67efdfe,http://www.moviepop.net/privacy-policy
air.com.freshplanet.games.SongPopPremium,SongPop Plus,Casual,1.89,Everyone,"100,000 - 500,000",20,1.9.1,2.3,12/13/2013,16016,4.54,12241,2177,472,254,872,http://songpop.fm,814b1a48eea53562cdb2c05f9ac0095df12164dc,616d45f74df5a2c7333da2de039a2c69a67efdfe,http://songpop.fm/privacy-policy/
air.com.freshplanet.games.WaM,SongPop,Casual,0,Low Maturity,"10,000,000 - 50,000,000",20,1.9.1,2.3,12/13/2013,284397,4.63,218699,45502,9066,3404,7726,http://songpop.fm,814b1a48eea53562cdb2c05f9ac0095df12164dc,616d45f74df5a2c7333da2de039a2c69a67efdfe,http://songpop.fm/privacy-policy/
air.com.igg.galaxyAPhone,Galaxy Online 2,Arcade and Action,0,Everyone,"50,000 - 100,000",32,1.1.9,2.2,3/14/2013,513,3.73,274,60,49,27,103,http://www.igg.com,980af388e5db6c883226acffc6dc4bd382bcbca7,03c0a72ec31ff8870076ea4299c201f494915015,http://igg.com/about/privacy_policy.php
air.com.igg.galaxyHD,Galaxy Online 2 HD (Tablet),Arcade and Action,0,Everyone,"50,000 - 100,000",32,1.1.9,2.2,3/14/2013,441,4.08,276,52,39,21,53,http://www.igg.com,980af388e5db6c883226acffc6dc4bd382bcbca7,03c0a72ec31ff8870076ea4299c201f494915015,http://igg.com/about/privacy_policy.php
air.com.igg.galaxyProHD,Galaxy Online 2 HD Pro (Tablet,Arcade and Action,0,Everyone,"50,000 - 100,000",32,1.1.9,2.2,3/14/2013,411,3.97,239,56,35,26,55,http://www.igg.com,980af388e5db6c883226acffc6dc4bd382bcbca7,03c0a72ec31ff8870076ea4299c201f494915015,http://igg.com/about/privacy_policy.php
air.com.maars.maarsTV,MAARS Global TV,Entertainment,0,Low Maturity,"1,000 - 5,000",9.6,0.001.010,2.2,4/23/2013,9,3.78,4,2,1,1,1,http://tv.maars.net/,49469c92705f244262d4336a2a3d57701e7deb5b,8616fa5b38916053365384f5124db13b9011180f,
air.com.maars.videoMail,MAARS Video Email - Simple,Communication,0,Low Maturity,"500 - 1,000",9.3,0.1.011,2.2,6/18/2012,6,3.33,2,2,0,0,2,http://maars.net,97314952729571080a4ff130e377fcbac25e1d30,8616fa5b38916053365384f5124db13b9011180f,
air.com.nhncorp.jrapp,쥬니어네이버 - Jr.Naver,Education,0,Everyone,"500,000 - 1,000,000",13,1.1.2,2.2,12/11/2013,1519,4.29,1072,163,87,42,155,http://www.nhncorp.com,62a1d1b4c7e84eb06f43d327eb136407248db2d7,41acb5f811f1ff4d6aec73cbc706cf65eb056ba2,http://mobile.naver.com/rules/mobile-privacy.nhn
air.com.nhncorp.jrtabletapp,쥬니어네이버 for Tablet,Education,0,Everyone,"10,000 - 50,000",23,1.0.9,3,12/29/2013,11,3.45,5,1,1,2,2,http://www.nhncorp.com,62a1d1b4c7e84eb06f43d327eb136407248db2d7,41acb5f811f1ff4d6aec73cbc706cf65eb056ba2,http://mobile.naver.com/rules/mobile-privacy.nhn
air.com.playtika.slotomania,Slotomania - FREE Slots,Cards and Casino,0,Medium Maturity,"10,000,000 - 50,000,000",Varies with device,Varies with device,2.2,12/19/2013,380439,4.39,248992,76093,28603,8675,18076,http://www.playtika.com,da39a3ee5e6b4b0d3255bfef95601890afd80709,743fd472d61da0ae50090a426034c03f28b1654f,http://www.playtika.com/privacy-policy.html
air.com.seedlabs.xgames,ESPN X Games,Sports,0,Everyone,"10,000 - 50,000",18,1000003,2.2,7/25/2013,148,4.43,115,9,7,6,11,http://xgames.espn.go.com/,4952b1f237ac5d87c62492b54efaf1989b9d0858,bc926bddc43f77cb8773b0450a563a8988911e41,http://corporate.disney.go.com/corporate/pp.html
